Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude
-73.96141815,40.80629349,-73.94874573,40.82362747
-73.95145416,40.8249054,-73.89556122,40.86994553
-73.9309082,40.69462967,-73.95693207,40.71260071
-73.95980835,40.81366348,-73.88237762,40.84001541
-73.99131012,40.68844223,-74.00996399,40.72145081
-73.92857361,40.70485306,-73.98757172,40.70383072
-73.96141815,40.71434021,-73.96135712,40.71921158
-73.97647095,40.68284225,-73.97494507,40.66800308
-73.94051361,40.81446075,-73.85848999,40.87896347
-73.9814682,40.68967438,-73.91369629,40.67556
-73.8923111,40.74674988,-73.86110687,40.75003433
-73.84436035,40.72148132,-73.84272003,40.69358444
-73.91884613,40.7430191,-73.90125275,40.74575806
-73.99039459,40.68675232,-73.95835114,40.68761063
-73.9552002,40.73446655,-73.97633362,40.64253998
-73.9523468,40.66371918,-74.01743317,40.64198303
-73.93955994,40.74988556,-73.9328537,40.77276611
-73.99403381,40.68175125,-73.95069885,40.80227661
-73.89091492,40.74691772,-73.8684082,40.73929596
-73.92810822,40.67044449,-73.94731903,40.67421722
-73.92144775,40.76676178,-73.92498016,40.68164444
-73.89136505,40.74663544,-73.89611816,40.73836136
-73.9942627,40.6869812,-73.98331451,40.66778564
-73.95594788,40.78781509,-73.95657349,40.78674698
-73.93654633,40.83029175,-73.94034576,40.82222748
-73.87737274,40.75460052,-73.89112091,40.74700165
-73.95692444,40.71856308,-73.93899536,40.72211075
-73.80742645,40.70010376,-73.80599976,40.69325256
-73.89246368,40.74699783,-73.91120911,40.74461746
-73.86711121,40.86550522,-73.85083008,40.90359116
-73.91864777,40.75935364,-73.91215515,40.76742172
-73.90339661,40.7461586,-73.91797638,40.74235535
-73.9800415,40.67697144,-73.99005127,40.66884232
-73.86145782,40.73003769,-73.82313538,40.76381683
-73.95281982,40.81069946,-73.96685791,40.79880905
-73.95797729,40.72186661,-73.97395325,40.67228317
-73.94565582,40.79013824,-73.94159698,40.79873657
-73.95800018,40.72187042,-73.94473267,40.71165085
-73.97618866,40.68700027,-73.95459747,40.72057724
-73.9487381,40.80923843,-73.95043182,40.82314682
-73.9657135,40.67780685,-73.96869659,40.67763901
-73.93758392,40.80447388,-73.95288086,40.8178215
-73.89073181,40.74645996,-73.87080383,40.73875427
-73.87189484,40.67520523,-73.95598602,40.70772552
-73.90078735,40.86272049,-73.9044342,40.86359787
-73.94406128,40.82368851,-73.92767334,40.82136917
-73.9577713,40.7177124,-73.95539856,40.72483063
-73.96651459,40.80410385,-73.94219208,40.79787827
